ID,Price,Bedrooms,Bathrooms,Sqft_Living,Sqft_Lot,Floors,Waterfront,View,Condition
1,221958,1,3,2468,1054,1,0,3,4
2,771155,2,1,2253,8643,1,1,3,3
3,231932,1,3,2796,11015,2,1,3,2
4,465838,3,1,2761,14489,2,0,1,1
5,359178,4,1,2786,4462,2,0,0,5
6,744167,1,3,4702,12271,1,1,2,5
7,210268,1,1,3378,1832,1,0,0,1
8,832180,2,3,4643,13600,1,1,3,1
9,154886,2,1,4144,11998,1,0,1,2
10,237337,3,1,4932,6954,2,0,4,3
11,621430,4,2,2555,11682,2,0,1,5
12,187498,2,2,1776,9519,2,0,3,2
13,999159,1,3,3266,8221,1,1,1,3
14,275203,4,2,802,4310,1,0,1,2
15,291335,4,3,1138,4300,1,0,3,5
16,378167,1,2,555,7722,2,1,1,1
17,141090,2,1,1025,8218,2,0,2,1
18,429365,1,3,4623,8776,1,0,2,3
19,164820,4,3,2625,4675,2,1,1,4
20,887201,5,1,3787,4054,1,0,4,3
21,421879,5,3,864,14575,1,1,3,4
22,818315,3,3,2146,8970,2,1,2,2
23,427069,1,2,1418,3143,1,1,4,2
24,876997,1,3,3297,6207,2,1,1,5
25,299041,3,1,2031,10503,1,0,4,4
26,891743,3,2,3845,12383,2,1,0,5
27,203355,3,2,2406,3538,2,0,2,1
28,335796,4,1,3586,13175,2,0,1,4
29,314176,1,1,2575,5547,1,0,3,3
30,284779,4,2,1213,6619,1,0,1,1
31,447449,3,3,1562,9356,2,0,3,1
32,521909,1,2,2476,13469,2,0,1,3
33,358795,4,1,1796,7612,1,0,4,1
34,586232,4,2,625,6005,1,0,4,4
35,600186,3,1,4096,1822,1,0,4,5
36,256730,1,2,3783,1943,2,0,0,1
37,970910,3,3,2103,7150,1,1,3,4
38,484681,1,2,566,5425,1,1,4,2
39,249503,5,2,732,9966,2,1,0,4
40,754811,2,1,2656,3198,1,0,3,5
41,627035,2,1,1669,12348,1,1,1,4
42,748143,2,1,2658,5242,1,1,0,3
43,552366,3,2,4706,4695,2,1,2,5
44,165725,5,3,1993,4452,2,0,0,2
45,229981,1,1,4507,10106,2,0,0,3
46,184654,4,1,2972,14859,2,0,3,4
47,691723,1,2,3160,2308,2,0,1,5
48,419030,4,1,3239,5177,2,1,2,2
49,428947,1,3,2261,9705,2,1,4,3
50,655839,5,3,4014,11112,1,1,4,2
51,373538,4,1,2475,7852,1,1,0,4
52,431236,3,1,2862,7035,2,0,3,2
53,628178,1,2,1376,4594,1,0,3,1
54,665894,1,3,4312,5841,1,0,4,3
55,589492,4,3,3948,2409,2,1,2,2
56,356840,3,1,1812,13994,1,0,1,4
57,573254,3,2,1960,5566,1,0,2,4
58,449457,5,3,3209,12382,1,1,1,2
59,765987,3,3,2824,5491,1,1,4,4
60,370936,3,2,2233,2555,1,0,1,5
61,339931,3,2,2105,1804,2,0,3,5
62,339629,2,3,3063,14221,2,0,0,5
63,305041,5,3,3921,2279,2,0,0,1
64,798361,1,2,4017,14192,1,0,4,2
65,831912,4,3,2897,14364,2,0,3,1
66,517113,1,1,4235,8083,1,1,2,4
67,168148,5,1,3370,6986,1,1,3,1
68,877089,4,2,1660,6619,1,1,0,4
69,748531,5,2,742,12769,1,0,0,4
70,351995,3,2,3090,12093,2,1,3,3
71,778843,4,1,1563,2387,2,0,3,5
72,672843,3,3,4824,14591,1,0,0,4
73,356508,1,1,3095,13880,2,1,2,3
74,903591,1,3,1419,11953,1,0,4,5
75,996942,4,1,505,3679,2,0,4,4
76,206530,4,3,967,3106,2,1,3,4
77,704365,5,1,4670,9173,1,1,4,1
78,922352,5,2,503,5223,2,1,0,1
79,560337,3,1,1145,5831,1,0,0,5
80,824839,4,3,617,3768,2,1,3,4
81,905889,1,1,3428,13145,1,1,3,2
82,559773,5,1,3051,4186,1,0,3,1
83,308261,5,1,4789,12472,2,1,2,5
84,864469,1,2,1346,3573,2,1,4,4
85,441097,5,1,3262,13808,1,1,3,4
86,415139,3,2,1641,3599,2,0,1,2
87,271829,4,2,2310,5033,2,0,1,5
88,371836,1,1,1223,9428,1,0,0,4
89,538974,4,1,724,2304,1,0,4,1
90,302283,5,1,4708,12622,2,1,3,2
91,296769,5,3,2548,8368,1,0,1,5
92,661353,1,1,4915,6877,1,0,4,2
93,323165,3,2,2073,2301,1,1,0,1
94,723587,2,1,2328,3541,2,1,2,5
95,635822,1,3,2417,3051,2,1,4,2
96,587879,2,1,4734,7809,1,0,4,3
97,664685,2,3,2526,9633,2,0,2,1
98,882038,3,3,4244,11268,1,0,4,1
99,453531,2,1,1401,12372,2,1,0,1
100,363160,2,2,2539,11849,1,1,0,3
